Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,Solve status,Objective,BestBound,Gap,NumOfNodes,SolveTime,TimeBestSol,TimeInstance,TimeSolve,TimeTotal,NumOfIterations,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance1XS50_2_10,2,50,10,1,VGS(MIP),FEASIBLE_SOLUTION,178420.0,173834.3751952179,0.025701293603755726,152778,3610.0619999989867,3461.486486673355,22.887311935424805,3610.0907034873962,3632.978015422821,27189341,3600,MT,YCR,NDI,NF,Instance1XS50_2_10
Instance1XS50_2_10,2,50,10,1,SCP,Feasible,178076,59845,0.663936,138670719,3600.05,3163.8765664100647,6.056948661804199,3600.1466324329376,3606.203581094742,,3600,MT,YCR,NDI,NF,Instance1XS50_2_10
Instance2XS50_2_10,2,50,10,2,VGS(MIP),FEASIBLE_SOLUTION,239740.0,235826.16749728806,0.01632532119259173,175331,3613.2659999988973,3611.21524810791,23.578128576278687,3613.2933716773987,3636.8715002536774,31466351,3600,MT,YCR,NDI,NF,Instance2XS50_2_10
Instance2XS50_2_10,2,50,10,2,SCP,Feasible,239272,78222,0.673083,132867903,3600.03,925.8750014305115,5.9571943283081055,3600.1249701976776,3606.0821645259857,,3600,MT,YCR,NDI,NF,Instance2XS50_2_10
Instance3XS50_2_10,2,50,10,3,VGS(MIP),FEASIBLE_SOLUTION,182852.0,181190.54145345243,0.00908635698022208,177265,3608.625,1147.968337059021,23.359377145767212,3608.6558091640472,3632.0151863098145,29411771,3600,MT,YCR,NDI,NF,Instance3XS50_2_10
Instance3XS50_2_10,2,50,10,3,SCP,Feasible,182768,57879,0.68332,139113341,3600.05,1143.1250083446503,5.910820960998535,3600.1409499645233,3606.051770925522,,3600,MT,YCR,NDI,NF,Instance3XS50_2_10
Instance4XS50_2_10,2,50,10,4,VGS(MIP),FEASIBLE_SOLUTION,208768.0,203839.03709907667,0.023609762515918772,130257,3600.25,3551.2656078338623,23.625030279159546,3600.2968451976776,3623.921875476837,30515177,3600,MT,YCR,NDI,NF,Instance4XS50_2_10
Instance4XS50_2_10,2,50,10,4,SCP,Feasible,208488,72212,0.65364,129178468,3600.01,1987.7135617733002,5.722788333892822,3600.1041843891144,3605.826972723007,,3600,MT,YCR,NDI,NF,Instance4XS50_2_10
Instance5XS50_2_10,2,50,10,5,VGS(MIP),FEASIBLE_SOLUTION,243344.0,237480.66464730757,0.02409484249742106,120593,3600.8600000031292,3551.3124759197235,23.62502956390381,3600.9062201976776,3624.5312497615814,31844798,3600,MT,YCR,NDI,NF,Instance5XS50_2_10
Instance5XS50_2_10,2,50,10,5,SCP,Feasible,243124,81685,0.664019,130481636,3600.05,3518.1438941955566,6.00875449180603,3600.1438875198364,3606.1526420116425,,3600,MT,YCR,NDI,NF,Instance5XS50_2_10
Instance1XS50_3_10,3,50,10,1,VGS(MIP),FEASIBLE_SOLUTION,180220.0,170579.5725600019,0.0534925504383426,76038,3608.0159999988973,3605.7607550621033,33.90625,3608.0732464790344,3641.9794964790344,16216486,3600,MT,YCR,NDI,NF,Instance1XS50_3_10
Instance1XS50_3_10,3,50,10,1,SCP,Feasible,179372,76579,0.573072,121010382,3600.05,3337.867215156555,6.3069493770599365,3600.1484661102295,3606.4554154872894,,3600,MT,YCR,NDI,NF,Instance1XS50_3_10
Instance2XS50_3_10,3,50,10,2,VGS(MIP),FEASIBLE_SOLUTION,174744.0,165961.072502048,0.05026168279283986,93834,3600.5460000000894,3600.2968158721924,34.09374141693115,3600.578065633774,3634.671807050705,25657887,3600,MT,YCR,NDI,NF,Instance2XS50_3_10
Instance2XS50_3_10,3,50,10,2,SCP,Feasible,173640,68113,0.607734,119486198,3600.05,499.7500002384186,6.3537585735321045,3600.1562530994415,3606.5100116729736,,3600,MT,YCR,NDI,NF,Instance2XS50_3_10
Instance3XS50_3_10,3,50,10,3,VGS(MIP),FEASIBLE_SOLUTION,141308.0,133658.7050130645,0.054132073109346264,74696,3600.5309999994934,3600.171876192093,33.6875,3600.5781259536743,3634.2656259536743,31861294,3600,MT,YCR,NDI,NF,Instance3XS50_3_10
Instance3XS50_3_10,3,50,10,3,SCP,Feasible,140632,51965,0.63049,124804741,3600.05,2158.0110037326813,6.368384599685669,3600.1461963653564,3606.514580965042,,3600,MT,YCR,NDI,NF,Instance3XS50_3_10
Instance4XS50_3_10,3,50,10,4,VGS(MIP),FEASIBLE_SOLUTION,177504.0,164950.23630922148,0.0707238354672487,134027,3611.7190000005066,3608.7701461315155,33.50000214576721,3611.754524707794,3645.2545268535614,24705289,3600,MT,YCR,NDI,NF,Instance4XS50_3_10
Instance4XS50_3_10,3,50,10,4,SCP,Feasible,176424,80649,0.542868,123105086,3600.05,1749.390604019165,6.291317462921143,3600.1455895900726,3606.436907052994,,3600,MT,YCR,NDI,NF,Instance4XS50_3_10
Instance5XS50_3_10,3,50,10,5,VGS(MIP),FEASIBLE_SOLUTION,159972.0,152779.91647779182,0.0449583897320042,174448,3615.047000002116,3611.840309381485,33.656248331069946,3615.090310573578,3648.746558904648,22953035,3600,MT,YCR,NDI,NF,Instance5XS50_3_10
Instance5XS50_3_10,3,50,10,5,SCP,Feasible,158944,62406,0.607371,116978398,3600.05,1318.806386232376,6.329194784164429,3600.170933008194,3606.5001277923584,,3600,MT,YCR,NDI,NF,Instance5XS50_3_10
Instance1XS50_4_10,4,50,10,1,VGS(MIP),FEASIBLE_SOLUTION,154420.0,145792.71620919358,0.055868953443895995,79714,3601.34299999848,3525.680403470993,40.328124046325684,3601.414798974991,3641.7429230213165,25855364,3600,MT,YCR,NDI,NF,Instance1XS50_4_10
